Date,Time_of_Day,Pace,Temperature,Shoe,Type_of_Shoe,Elevation_Gain,Distance,Duration,Pace_min
04/28/25,12:14,17.58,60,brown docs,Doc Martens,15,0.93,16.48,17.97
04/29/25,10:22,17.5,61,blue adidas,Sneakers,7,0.59,10.36,17.83
05/01/25,10:46,19.15,59,brown docs,Doc Martens,6,0.85,16.28,19.25
05/02/25,10:50,17.58,61,jordans,Sneakers,18,0.57,10.08,17.97
05/05/25,12:08,20.18,60,brown docs,Doc Martens,15,0.8,16.2,20.3
05/06/25,3:28,18.39,62,brown docs,Doc Martens,26,0.48,9.06,18.65
05/06/25,10:46,19,60,blue adidas,Sneakers,6,0.61,11.42,19
05/08/25,10:41,17.46,64,blue adidas,Sneakers,7,0.9,16.09,17.77
05/08/25,1:30,17.42,69,blue adidas,Sneakers,36,0.5,8.57,17.7
05/08/25,3:40,17.28,67,blue adidas,Sneakers,17,0.93,16.19,17.47
05/09/25,10:41,19.03,67,sambas,Sneakers,76,0.74,14.09,19.05
05/12/25,12:14,17.34,67,blue adidas,Sneakers,7,0.8,14.09,17.57
05/12/25,1:39,17.2,71,blue adidas,Sneakers,7,1.02,17.44,17.33
05/13/25,10:43,19.16,63,sambas,Sneakers,6,0.47,9.06,19.27
05/13/25,3:38,17.4,68,sambas,Sneakers,42,0.53,9.24,17.67
05/14/25,12:12,19.01,66,brown docs,Doc Martens,7,0.96,18.19,19.02
05/14/25,1:37,19.33,70,brown docs,Doc Martens,7,0.56,11.01,19.55
05/15/25,9:59,18.58,61,air forces,Sneakers,6,0.57,10.57,18.97
05/15/25,12:12,19.1,66,air forces,Sneakers,26,0.99,19.05,19.17
05/16/25,7:47,16.56,56,blue adidas,Sneakers,6,0.66,11.16,16.93
05/19/25,7:49,18.27,60,brown docs,Doc Martens,6,0.66,12.15,18.45
05/19/25,1:42,18.38,79,brown docs,Doc Martens,7,0.55,10.16,18.63
05/20/25,10:45,18.04,65,air forces,Sneakers,8,0.55,10,18.07
05/27/25,10:40,17.45,62,mary janes,Doc Martens,8,0.93,16.39,17.75
05/29/25,10:43,18.07,62,blue adidas,Sneakers,7,0.91,16.34,18.12